Country Name,Latitude,Longitude,2011,2012,2015
Afghanistan,33.93911,67.709953,51.75690842,53.61804962,51.66994858
Albania,41.153332,20.168331,89.79815674,92.28983307,97.38848114
Algeria,28.033886,1.659626,99.61434937,,
American Samoa,-14.270972,-170.132217,,,
Andorra,42.546245,1.601554,,,
Angola,-11.202692,17.873887,26.48254013,,
Antigua and Barbuda,17.060816,-61.796428,110.9229431,109.5244293,108.2302322
Argentina,-38.416097,-63.616672,101.5350037,103.4764786,106.9464722
Armenia,40.069099,45.038189,93.13488007,,86.00588989
Aruba,12.52111,-69.968338,97.02787781,111.1597672,
Australia,-25.274398,133.775136,,,157.1676636
Austria,47.516231,14.550072,98.06147003,97.84332275,100.3209991
Azerbaijan,40.143105,47.576927,,,
"Bahamas, The",25.03428,-77.39628,84.98634338,85.76167297,
Bahrain,25.930414,50.637772,95.29779816,91.67199707,102.1602402
Bangladesh,23.684994,90.356331,52.43136978,55.20996857,65.62918854
Barbados,13.193887,-59.543198,103.6358871,,107.5281219
Belarus,53.709807,27.953389,107.3914185,107.2134399,105.4690018
Belgium,50.503887,4.469936,156.6331635,157.7947693,163.9347229
Belize,17.189877,-88.49765,75.951828,78.31773376,80.65795135
Benin,9.30769,2.315834,49.12759018,,58.8467598
Bermuda,32.321384,-64.75737,76.69093323,76.49401855,76.95237732
Bhutan,27.514162,90.433601,67.24878693,71.69738007,84.01727295
Bolivia,-16.290154,-63.588653,86.06030273,88.13147736,91.36424255
Bosnia and Herzegovina,43.915886,17.679076,,,
Botswana,-22.328474,24.684866,,,
Brazil,-14.235004,-51.92528,95.26338196,93.42028809,100.6081696
British Virgin Islands,18.420695,-64.639968,99.5341568,96.63865662,93.06703186
Brunei Darussalam,4.535277,114.727669,101.4305496,106.2648315,96.41471863
Bulgaria,42.733883,25.48583,93.75525665,94.69573212,102.2722702
Burkina Faso,12.238333,-1.561593,23.83592987,25.93309021,33.71873093
Burundi,-3.373056,29.918886,26.12249947,28.71599007,44.34693146
Cambodia,12.565679,104.990963,,,
Cameroon,7.369722,12.354722,48.31893158,51.58778,59.03208923
Canada,56.130366,-106.346771,103.3489609,109.9874878,110.3565292
Cape Verde,16.002082,-24.013197,89.97599792,93.03401184,94.72112274
Cayman Islands,19.513469,-80.566956,81.15000153,82.15973663,
Central African Republic,6.611111,20.939444,17.62453079,17.39388084,
Chad,15.454166,18.732207,23.06594086,22.3210907,22.41506004
Chile,-35.675147,-71.542969,90.46907806,89.50108337,101.7809296
China,35.86166,104.195397,,,
Colombia,4.570868,-74.297333,99.15142822,95.40425873,94.7192688
Comoros,-11.875001,43.872219,,,
"Congo, Dem. Rep.",-4.038333,21.758664,43.32061005,43.22605896,46.16579056
"Congo, Rep.",-0.228021,15.827659,,52.59281921,
Costa Rica,9.748917,-83.753428,103.8047028,107.4916992,122.7865829
Cote d'Ivoire,7.539989,-5.54708,,,42.45389175
Croatia,45.1,15.2,99.19125366,98.91718292,98.65386963
Cuba,21.521757,-77.781167,91.52572632,90.18881989,97.89115143
Cyprus,35.126413,33.429859,92.82562256,95.29985046,99.77831268
Czech Republic,49.817492,15.472962,95.79878998,96.79180908,105.0893021
Denmark,56.26392,9.501785,122.6990204,123.4057922,130.2518616
Djibouti,11.825138,42.590275,40.86059189,43.86172867,46.76042175
Dominica,15.414999,-61.370976,89.13699341,,94.25424194
Dominican Republic,18.735693,-70.162651,77.46867371,78.02393341,79.97901917
Ecuador,-1.831239,-78.183406,96.46614075,99.54315186,104.0310593
"Egypt, Arab Rep.",26.820553,30.802498,77.60144043,78.68850708,
El Salvador,13.794185,-88.89653,71.50865173,73.42411804,
Equatorial Guinea,1.650801,10.267895,,,
Eritrea,15.179384,39.782334,55.62369156,59.33432007,51.82041931
Estonia,58.595272,25.013607,107.3688278,107.8115692,111.0414276
Eswatini,-26.522503,31.465866,67.9101181,69.57962799,76.03504944
Ethiopia,9.145,40.489673,36.00415039,37.57714081,34.93946838
Faroe Islands,61.892635,-6.911806,,,
Fiji,-16.578193,179.414413,91.31902313,89.88188934,
Finland,61.92411,25.748151,108.0977707,108.2427597,150.0198669
France,46.227638,2.213749,106.6106415,105.8135834,103.3960419
French Polynesia,-17.679742,-149.406843,,,
Gabon,-0.803689,11.609444,,,
"Gambia, The",13.443182,-15.310139,,,
Georgia,42.315407,43.356892,,,99.35391235
Germany,51.165691,10.451526,103.7624207,102.1676102,98.82263947
